tmdb_id,title,release_date,runtime_minutes,original_language,budget_usd,worldwide_revenue_usd,popularity,vote_average,vote_count,genres,production_countries,production_companies,production_company_ids,collection_id,collection_name,director,cast_top10,cast_ids_top10,release_year,profitable,release_month,release_season,primary_genre,genre_count,country_count,company_count,is_franchise,is_summer_release,is_holiday_release,cast_size_top10,log_budget_usd,budget_category,roi_simple,director_previous_movie_count,director_previous_avg_revenue,director_previous_success_rate,director_previous_avg_rating,director_previous_max_revenue,franchise_previous_movie_count,franchise_previous_avg_revenue,franchise_previous_success_rate,franchise_previous_avg_rating,franchise_previous_last_revenue,franchise_previous_max_revenue,franchise_previous_median_revenue,franchise_previous_latest_success,is_sequel,cast_previous_movie_count,cast_previous_avg_revenue,cast_previous_max_revenue,cast_previous_success_rate,cast_previous_avg_rating,production_company_previous_movie_count,production_company_previous_avg_revenue,production_company_previous_max_revenue,production_company_previous_success_rate,director_id,director_ids
10138,Iron Man 2,2010-04-28,124.0,en,200000000.0,623933331.0,36.327,6.854,22845,Adventure; Action; Science Fiction,US,Marvel Studios; Fairview Entertainment; Marvel Entertainment,420; 7297; 7505,131292.0,Iron Man Collection,Jon Favreau,Robert Downey Jr.; Gwyneth Paltrow; Don Cheadle; Scarlett Johansson; Sam Rockwell; Mickey Rourke; Samuel L. Jackson; Clark Gregg; John Slattery; Garry Shandling,3223; 12052; 1896; 1245; 6807; 2295; 2231; 9048; 21134; 52865,2010,1.0,4,Spring,Adventure,3,1,3,1,0,0,10,19.11382792951231,Very high,2.119666655,0.0,,,,,0.0,,,,,,,,0,1.0,24700800.0,45700000.0,0.5,6.0615000000000006,0.0,,,,15277.0,15277
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-02,113.0,en,155000000.0,415686217.0,12.4014,6.444,6001,Adventure; Family; Fantasy,GB; US,Fox 2000 Pictures; Walden Media; C.S. Lewis Company,711; 10221; 79503,420.0,The Chronicles of Narnia Collection,Michael Apted,Georgie Henley; Skandar Keynes; Ben Barnes; Will Poulter; Anna Popplewell; Tilda Swinton; William Moseley; Simon Pegg; Liam Neeson; Laura Brent,5526; 5527; 25130; 93491; 5529; 3063; 5528; 11108; 3896; 962438,2010,1.0,12,Winter,Adventure,3,2,3,1,0,1,10,18.858935681335133,Very high,1.6818465612903226,0.0,,,,,0.0,,,,,,,,0,3.0,81614469.33333333,493214993.0,0.5555555555555555,6.322,2.0,100856254.0,112462508.0,1.0,10781.0,10781
10191,How to Train Your Dragon,2010-03-18,98.0,en,165000000.0,495141736.0,36.3926,7.867,14677,Fantasy; Adventure; Animation; Family,US,DreamWorks Animation,521,89137.0,How to Train Your Dragon Collection,Chris Sanders,Jay Baruchel; Gerard Butler; Craig Ferguson; America Ferrera; Jonah Hill; Christopher Mintz-Plasse; T.J. Miller; Kristen Wiig; Robin Atkin Downes; Philip McGrade,449; 17276; 24264; 59174; 21007; 54691; 51990; 41091; 130081; 138619,2010,1.0,3,Spring,Fantasy,4,1,1,1,0,0,10,18.92145603792546,Very high,2.000859006060606,0.0,,,,,0.0,,,,,,,,0,1.0,78633333.33333333,136300000.0,1.0,6.283666666666666,0.0,,,,66193.0,66193; 69797
10192,Shrek Forever After,2010-05-16,93.0,en,165000000.0,752600867.0,17.6788,6.413,8105,Comedy; Adventure; Fantasy; Animation; Family,US,DreamWorks Animation,521,2150.0,Shrek Collection,Mike Mitchell,Mike Myers; Eddie Murphy; Cameron Diaz; Antonio Banderas; Walt Dohrn; Julie Andrews; John Cleese; Jon Hamm; Jane Lynch; Craig Robinson,12073; 776; 6941; 3131; 118489; 5823; 8930; 65717; 43775; 64342,2010,1.0,5,Spring,Comedy,5,1,1,1,0,0,10,18.92145603792546,Very high,3.561217375757576,0.0,,,,,0.0,,,,,,,,0,1.0,88621360.5,112462508.0,1.0,5.7715,1.0,495141736.0,495141736.0,1.0,64151.0,64151
10193,Toy Story 3,2010-06-16,103.0,en,200000000.0,1067316101.0,34.7052,7.815,16161,Animation; Family; Comedy,US,Pixar,3,10194.0,Toy Story Collection,Lee Unkrich,Tom Hanks; Tim Allen; Joan Cusack; Don Rickles; Wallace Shawn; John Ratzenberger; Estelle Harris; Blake Clark; Jeff Pidgeon; Ned Beatty,31; 12898; 3234; 7167; 12900; 7907; 61964; 21485; 7882; 13726,2010,1.0,6,Summer,Animation,3,1,1,1,1,0,10,19.11382792951231,Very high,4.336580505,0.0,,,,,0.0,,,,,,,,0,1.0,4052191.0,4052191.0,0.0,5.831,0.0,,,,8.0,8
10195,Thor,2011-04-21,115.0,en,150000000.0,449326618.0,27.4379,6.771,22736,Adventure; Fantasy; Action,US,Marvel Studios; Marvel Entertainment,420; 7505,131296.0,Thor Collection,Kenneth Branagh,Chris Hemsworth; Natalie Portman; Tom Hiddleston; Anthony Hopkins; Stellan Skarsgård; Kat Dennings; Clark Gregg; Colm Feore; Idris Elba; Ray Stevenson,74568; 524; 91606; 4173; 1640; 52852; 9048; 10132; 17605; 56614,2011,1.0,4,Spring,Adventure,3,1,2,1,0,0,10,18.8261458587272,Very high,1.9955107866666664,0.0,,,,,0.0,,,,,,,,0,5.0,165662027.35555556,623933331.0,0.7611111111111111,6.557111111111112,1.0,623933331.0,623933331.0,1.0,11181.0,11181
10196,The Last Airbender,2010-06-30,103.0,en,150000000.0,319713881.0,13.9236,4.642,4348,Action; Adventure; Fantasy,US,Paramount Pictures; Nickelodeon Movies; Blinding Edge Pictures; The Kennedy/Marshall Company,4; 2348; 12236; 862,,,M. Night Shyamalan,Noah Ringer; Dev Patel; Nicola Peltz; Jackson Rathbone; Shaun Toub; Aasif Mandvi; Cliff Curtis; Seychelle Gabriel; Katharine Houghton; Francis Guinan,88816; 76788; 61186; 84215; 17857; 20644; 7248; 559643; 19729; 162754,2010,1.0,6,Summer,Action,3,1,4,0,1,0,10,18.8261458587272,Very high,1.131425873333333,0.0,,,,,0.0,,,,,,,,0,1.0,698491347.0,698491347.0,1.0,6.2,2.0,172302097.5,294804195.0,1.0,11614.0,11614
10316,The Ides of March,2011-10-07,101.0,en,12500000.0,76338111.0,7.3147,6.681,2787,Drama,US,Appian Way; Crystal City Entertainment; Cross Creek Pictures; Exclusive Media; Smokehouse Pictures,562; 9018; 10246; 11448; 1782,,,George Clooney,Ryan Gosling; George Clooney; Philip Seymour Hoffman; Paul Giamatti; Evan Rachel Wood; Marisa Tomei; Jeffrey Wright; Max Minghella; Jennifer Ehle; Gregory Itzin,30614; 1461; 1233; 13242; 38940; 3141; 2954; 2978; 49971; 21142,2011,1.0,10,Fall,Drama,1,1,5,0,0,0,10,16.341239282272525,Mid,5.10704888,0.0,,,,,0.0,,,,,,,,0,4.0,126525341.68333332,586764305.0,0.825,6.871008333333334,3.0,137673326.0833333,329398046.0,0.875,1461.0,1461
10317,Our Brand Is Crisis,2015-09-11,107.0,en,28000000.0,7002261.0,4.2892,5.866,536,Comedy; Drama,US,Participant; Smokehouse Pictures,6735; 1782,,,David Gordon Green,Sandra Bullock; Anthony Mackie; Billy Bob Thornton; Zoe Kazan; Scoot McNairy; Ann Dowd; Joaquim de Almeida; Reynaldo Pacheco; Dominic Flores; Louis Arcella,18277; 53650; 879; 35028; 59233; 43366; 22462; 235850; 210016; 1348561,2015,0.0,9,Fall,Comedy,2,1,2,0,0,0,10,17.147715103853763,High,-0.74991925,3.0,21795788.0,0.3333333333333333,5.793666666666667,34942188.0,0.0,,,,,,,,0,11.0,161814426.2857744,1159457503.0,0.7444444444444445,6.61533207070707,14.0,90848285.55,275300000.0,0.8333333333333333,64141.0,64141
10679,Iron Sky,2012-04-04,93.0,en,7500000.0,10109659.0,8.2093,5.747,1835,Action; Comedy; Science Fiction,FI; DE; AU,Blind Spot Pictures; 27 Films Production; New Holland Pictures,7330; 9282; 10229,312977.0,Iron Sky Collection,Timo Vuorensola,Julia Dietze; Christopher Kirby; Götz Otto; Udo Kier; Peta Sergeant; Stephanie Paul; Tilo Prückner; Michael Cullen; Kym Jackson; Ben Siemer,6674; 75175; 10744; 1646; 220914; 936496; 13812; 1232566; 999445; 2211786,2012,1.0,4,Spring,Action,3,3,3,1,0,0,10,15.830413711839864,Low,0.3479545333333333,0.0,,,,,0.0,,,,,,,,0,0.0,,,,,0.0,,,,66212.0,66212
11324,Shutter Island,2010-02-14,138.0,en,80000000.0,294804195.0,31.2632,8.2,26358,Drama; Thriller; Mystery,US,Paramount Pictures; Phoenix Pictures; Sikelia Productions; Appian Way,4; 11317; 23243; 562,,,Martin Scorsese,Leonardo DiCaprio; Mark Ruffalo; Ben Kingsley; Max von Sydow; Michelle Williams; Emily Mortimer; Patricia Clarkson; Jackie Earle Haley; Ted Levine; John Carroll Lynch,6193; 103; 2282; 2201; 1812; 1246; 1276; 17183; 15854; 3911,2010,1.0,2,Winter,Drama,3,1,4,0,0,0,10,18.19753720513815,Very high,2.6850524375,0.0,,,,,0.0,,,,,,,,0,1.0,449702.0,449702.0,0.0,6.797,0.0,,,,1032.0,1032
11439,The Ghost Writer,2010-02-12,128.0,en,45000000.0,60300000.0,5.6572,6.818,2509,Thriller; Mystery,FR; DE; GB,R.P. Productions; France 2 Cinéma; Runteam; Studio Babelsberg; Elfte Babelsberg Film,355; 83; 265; 264; 156372,,,Roman Polanski,Ewan McGregor; Pierce Brosnan; Kim Cattrall; Olivia Williams; Tom Wilkinson; Timothy Hutton; Jon Bernthal; Tim Preece; Robert Pugh; David Rintoul,3061; 517; 2109; 11616; 207; 16327; 19498; 113360; 47643; 26706,2010,1.0,2,Winter,Thriller,2,3,5,0,0,0,10,17.622173069956816,High,0.34,0.0,,,,,0.0,,,,,,,,0,1.0,123633057.5,226497209.0,1.0,6.311,0.0,,,,3556.0,3556
12155,Alice in Wonderland,2010-03-03,108.0,en,200000000.0,1025467110.0,22.2659,6.644,15023,Family; Fantasy; Adventure,US,Walt Disney Pictures; Roth Films; Team Todd; The Zanuck Company,2; 16314; 598; 80,261307.0,Alice in Wonderland Collection,Tim Burton,Mia Wasikowska; Johnny Depp; Anne Hathaway; Helena Bonham Carter; Crispin Glover; Matt Lucas; Alan Rickman; Stephen Fry; Michael Sheen; Timothy Spall,76070; 85; 1813; 1283; 1064; 26209; 4566; 11275; 3968; 9191,2010,1.0,3,Spring,Family,3,1,4,1,0,0,10,19.11382792951231,Very high,4.12733555,0.0,,,,,0.0,,,,,,,,0,0.0,,,,,0.0,,,,510.0,510
12201,Edge of Darkness,2010-01-28,117.0,en,80000000.0,81126522.0,9.0342,6.459,1794,Crime; Drama; Mystery; Thriller,GB; US,Icon Productions; GK Films; BBC Film; Warner Bros. Pictures,152; 3281; 288; 174,,,Martin Campbell,Mel Gibson; Ray Winstone; Danny Huston; Bojana Novaković; Shawn Roberts; David Aaron Baker; Jay O. Sanders; Denis O'Hare; Damian Young; Frank Grillo,2461; 5538; 6413; 81682; 81097; 60195; 6067; 81681; 109144; 81685,2010,1.0,1,Winter,Crime,4,2,4,0,0,0,10,18.19753720513815,Very high,0.014081525,0.0,,,,,0.0,,,,,,,,0,0.0,,,,,0.0,,,,10702.0,10702
12444,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,146.0,en,250000000.0,954305868.0,41.3682,7.732,20738,Adventure; Fantasy,GB; US,Warner Bros. Pictures; Heyday Films,174; 437,1241.0,Harry Potter Collection,David Yates,Daniel Radcliffe; Emma Watson; Rupert Grint; Toby Jones; Helena Bonham Carter; Alan Rickman; Ralph Fiennes; Bill Nighy; Simon McBurney; Rhys Ifans,10980; 10990; 10989; 13014; 1283; 4566; 5469; 2440; 16358; 7026,2010,1.0,11,Fall,Adventure,2,2,2,1,0,1,10,19.33697147982652,Very high,2.817223472,0.0,,,,,0.0,,,,,,,,0,3.0,397658485.5,1025467110.0,0.5833333333333334,6.485972222222222,10.0,217287443.5,839030630.0,0.8,11343.0,11343
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,130.0,en,125000000.0,1341511219.0,48.9393,8.1,22376,Adventure; Fantasy,GB; US,Warner Bros. Pictures; Heyday Films,174; 437,1241.0,Harry Potter Collection,David Yates,Daniel Radcliffe; Emma Watson; Rupert Grint; Ralph Fiennes; Alan Rickman; Michael Gambon; Warwick Davis; Helena Bonham Carter; Ciarán Hinds; Matthew Lewis,10980; 10990; 10989; 5469; 4566; 5658; 11184; 1283; 8785; 96841,2011,1.0,7,Summer,Adventure,2,2,2,1,1,0,10,18.643824303266577,Very high,9.732089752,1.0,954305868.0,1.0,7.732,954305868.0,1.0,954305868.0,1.0,7.732,954305868.0,954305868.0,954305868.0,1.0,1,4.0,614669484.6041667,1025467110.0,0.90625,7.147145833333333,19.0,597160433.5,954305868.0,0.9473684210526316,11343.0,11343
12819,Alpha and Omega,2010-07-05,88.0,en,20000000.0,50507267.0,4.9913,5.935,577,Animation; Family; Comedy; Adventure; Romance,US; IN,Lionsgate; Crest Animation; Crest Animation; Alpha & Omega Productions,1632; 6575; 21234; 308163,241729.0,Alpha and Omega Collection,Anthony Bell,Justin Long; Hayden Panettiere; Dennis Hopper; Danny Glover; Larry Miller; Eric Price; Vicki Lewis; Chris Carmack; Kevin Sussman; Brian Donovan,15033; 17265; 2778; 2047; 1211; 1063149; 14723; 87440; 60633; 1227849,2010,1.0,7,Summer,Animation,5,2,4,1,1,0,10,16.811242881518265,Mid,1.52536335,0.0,,,,,0.0,,,,,,,,0,1.0,73605424.5,98159963.0,1.0,5.9175,4.0,55685787.75,98159963.0,1.0,131242.0,131242; 61970
13477,When in Rome,2010-01-29,91.0,en,55000000.0,43042835.0,5.7814,5.914,1296,Comedy; Fantasy; Romance,US,Krasnoff / Foster Entertainment; Touchstone Pictures,8299; 9195,,,Mark Steven Johnson,Kristen Bell; Josh Duhamel; Anjelica Huston; Danny DeVito; Will Arnett; Jon Heder; Dax Shepard; Alexis Dziena; Kate Micucci; Bobby Moynihan,40462; 19536; 5657; 518; 21200; 53926; 51298; 4433; 132354; 452205,2010,0.0,1,Winter,Comedy,3,1,2,0,0,0,10,17.822843761378564,Very high,-0.217403,0.0,,,,,0.0,,,,,,,,0,0.0,,,,,0.0,,,,16837.0,16837
14564,Rings,2017-02-01,102.0,en,25000000.0,83080890.0,7.361,5.024,2649,Horror,US,Paramount Pictures; Macari/Edelstein; Parkes+MacDonald Image Nation; Waddieish Claretrap,4; 24902; 49325; 85425,14563.0,The Ring Collection,F. Javier Gutiérrez,Matilda Lutz; Alex Roe; Johnny Galecki; Vincent D'Onofrio; Zach Roerig; Aimee Teegarden; Bonnie Morgan; Chuck David Willis; Patrick Walker; Laura Slade Wiggins,1464589; 1167375; 16478; 7132; 221841; 145836; 58517; 1502945; 1635137; 439253,2017,1.0,2,Winter,Horror,1,1,4,1,0,0,10,17.034386422832473,High,2.3232356,0.0,,,,,0.0,,,,,,,,0,13.0,113908522.76923075,1671537444.0,0.9555555555555556,6.057092307692307,55.0,255778111.5,1123794079.0,0.7878787878787878,94403.0,94403
16290,Jackass 3D,2010-10-15,94.0,en,20000000.0,117224271.0,6.2029,6.641,1513,Comedy; Documentary; Action,US,MTV Films; Dickhouse Productions; Paramount Pictures,746; 6328; 4,17178.0,Jackass Collection,Jeff Tremaine,Johnny Knoxville; Bam Margera; Ryan Dunn; Steve-O; Chris Pontius; Jason 'Wee Man' Acuña; Preston Lacy; Ehren McGhehey; Dave England; Phil Margera,9656; 56584; 110068; 56585; 56586; 78840; 76365; 220241; 86627; 117261,2010,1.0,10,Fall,Comedy,3,1,3,1,0,0,10,16.811242881518265,Mid,4.86121355,0.0,,,,,0.0,,,,,,,,0,1.0,14788642.0,14788642.0,1.0,6.1,3.0,221439358.66666663,319713881.0,1.0,56578.0,56578
17578,The Adventures of Tintin,2011-10-24,107.0,en,130000000.0,373993951.0,19.0311,6.929,5951,Adventure; Animation; Mystery,NZ; US,Paramount Pictures; Columbia Pictures; Hemisphere Media Capital; Nickelodeon Movies; Amblin Entertainment; WingNut Films; The Kennedy/Marshall Company,4; 5; 9169; 2348; 56; 11; 862,,,Steven Spielberg,Jamie Bell; Andy Serkis; Daniel Craig; Nick Frost; Simon Pegg; Daniel Mays; Gad Elmaleh; Toby Jones; Enn Reitel; Mackenzie Crook,478; 1333; 8784; 11109; 11108; 1670; 51100; 13014; 34904; 1711,2011,1.0,10,Fall,Adventure,3,2,7,0,0,0,10,18.683045016112164,Very high,1.876876546153846,0.0,,,,,0.0,,,,,,,,0,5.0,117978639.00833333,954305868.0,0.6208333333333333,6.545654166666667,19.0,229629293.23117408,1123794079.0,0.968421052631579,488.0,488
18823,Clash of the Titans,2010-03-26,106.0,en,125000000.0,493214993.0,11.5696,5.924,6823,Adventure; Fantasy; Action,US; GB,The Zanuck Company; Legendary Pictures; Thunder Road; Moving Picture Company; Warner Bros. Pictures,80; 923; 3528; 20478; 174,86780.0,Clash of the Titans Collection,Louis Leterrier,Sam Worthington; Gemma Arterton; Mads Mikkelsen; Alexa Davalos; Jason Flemyng; Ralph Fiennes; Liam Neeson; Pete Postlethwaite; Polly Walker; Ashraf Barhom,65731; 59620; 1019; 28109; 973; 5469; 3896; 4935; 6416; 766,2010,1.0,3,Spring,Adventure,3,2,5,1,0,0,10,18.643824303266577,Very high,2.945719944,0.0,,,,,0.0,,,,,,,,0,1.0,6844324.5,13657649.0,0.0,6.119,1.0,384097877.3333333,1025467110.0,1.0,18865.0,18865
19901,Daybreakers,2010-01-06,98.0,en,20000000.0,51417188.0,8.8442,6.282,2250,Action; Fantasy; Science Fiction,US; AU,Lionsgate; Pictures in Paradise; Pacific Film and Television Commission; Furst Films; Australian Film Finance Corporation,1632; 3207; 4024; 3135; 1380,,,Michael Spierig,Ethan Hawke; Sam Neill; Willem Dafoe; Claudia Karvan; Isabel Lucas; Vince Colosimo; Jay Laga'aia; Michael Dorman; Harriet Minto-Day; Tiffany Lamb,569; 4783; 5293; 79966; 103554; 77496; 33182; 76068; 1121519; 61911,2010,1.0,1,Winter,Action,3,2,5,0,0,0,10,16.811242881518265,Mid,1.5708594,0.0,,,,,0.0,,,,,,,,0,0.0,,,,,0.0,,,,56501.0,56501; 56502
20352,Despicable Me,2010-07-08,95.0,en,69000000.0,543284256.0,35.1042,7.261,16343,Animation; Comedy; Crime; Science Fiction; Family,US,Illumination; Universal Pictures,6704; 33,86066.0,Despicable Me Collection,Pierre Coffin,Steve Carell; Jason Segel; Russell Brand; Julie Andrews; Will Arnett; Kristen Wiig; Miranda Cosgrove; Dana Gaier Ellis; Elsie Fisher; Pierre Coffin,4495; 41088; 59919; 5823; 21200; 41091; 17743; 124750; 122851; 124747,2010,1.0,7,Summer,Animation,5,1,2,1,1,0,10,18.04961707705429,Very high,6.873684869565217,0.0,,,,,0.0,,,,,,,,0,3.0,184114760.93333337,752600867.0,0.7333333333333333,5.987733333333333,8.0,65829767.375,140700000.0,0.5,124747.0,124747; 124748
